data,tipo,valor,descricao
2025-01-01,faturamento,"504,00",
2025-01-02,faturamento,"405,00",
2025-01-02,Investimentos,"558,25",
2025-01-03,faturamento,"1.366,20",
2025-01-03,Investimentos,"579,00",
2025-01-04,faturamento,"2.462,50",
2025-01-04,Investimentos,"1.795,00",
2025-01-05,faturamento,"1.193,40",
2025-01-06,faturamento,"1.128,10",
2025-01-06,Investimentos,"2.122,73",
2025-01-07,faturamento,"1.746,95",
2025-01-07,Investimentos,"1.253,70",
2025-01-08,faturamento,"585,55",
2025-01-08,Investimentos,"3.791,45",
2025-01-09,faturamento,"959,50",
2025-01-09,Investimentos,"916,40",
2025-01-10,faturamento,"1.551,95",
2025-01-10,Investimentos,"1.321,41",
2025-01-11,faturamento,"2.021,85",
2025-01-11,Investimentos,"1.319,00",
2025-01-12,faturamento,"459,45",
2025-01-13,faturamento,"794,35",
2025-01-13,Investimentos,"832,00",
2025-01-14,faturamento,"748,15",
2025-01-14,Pagamentos de energia,"1.191,89",Placa Solar
2025-01-15,faturamento,"948,30",
2025-01-15,Investimentos,"599,20",
2025-01-16,faturamento,"763,00",
2025-01-16,Investimentos,"170,00",
2025-01-17,faturamento,"580,75",
2025-01-17,Investimentos,"857,68",
2025-01-18,faturamento,"1.356,45",
2025-01-18,Investimentos,"448,40",
2025-01-19,faturamento,"772,15",
2025-01-20,faturamento,"491,25",
2025-01-20,Investimentos,"1.708,01",
2025-01-20,Pagamentos de energia,"374,01",Equatorial
2025-01-21,faturamento,"710,50",
2025-01-21,Investimentos,"1.043,20",
2025-01-22,faturamento,"378,25",
2025-01-22,Investimentos,"204,50",
2025-01-23,faturamento,"875,90",
2025-01-23,Investimentos,"1.246,73",
2025-01-24,faturamento,"558,35",
2025-01-25,faturamento,"1.227,25",
2025-01-25,Investimentos,"1.263,10",
2025-01-26,faturamento,"632,45",
2025-01-27,faturamento,"882,55",
2025-01-27,Investimentos,"726,25",
2025-01-28,faturamento,"528,00",
2025-01-28,Investimentos,"522,96",
2025-01-29,faturamento,"362,50",
2025-01-30,faturamento,"2.011,30",
2025-01-30,Investimentos,"824,00",
2025-01-31,faturamento,"1.642,15",
2025-01-31,Investimentos,"774,02",
2025-01-14,Investimentos,"1.530,08",
2025-01-14,Despesa de Casa,"115,00",Internet
2025-01-31,Despesa de Casa,"1.950,00",Comida
2025-01-31,Pagamento de funcionários,"3.000,00",
2025-02-01,faturamento,"1.503,55",
2025-02-01,Investimentos,"2.324,75",
2025-02-02,faturamento,"303,15",
2025-02-03,faturamento,"530,60",
2025-02-03,Investimentos,"1.965,25",
2025-02-04,faturamento,"906,90",
2025-02-04,Investimentos,"1.316,50",
2025-02-05,faturamento,"1.665,30",
2025-02-05,Investimentos,"199,50",
2025-02-06,faturamento,"2.573,50",
2025-02-06,Investimentos,"682,45",
2025-02-07,faturamento,"2.678,85",
2025-02-07,Investimentos,"411,18",
2025-02-08,faturamento,"1.352,30",
2025-02-08,Investimentos,"3.592,80",
2025-02-09,faturamento,"397,95",
