data,tipo,valor,descricao
2025-05-01,faturamento,"535,90",
2025-05-01,Investimentos,"216,00",
2025-05-02,faturamento,"933,75",
2025-05-02,Investimentos,"915,40",
2025-05-03,faturamento,"1.624,00",
2025-05-03,Investimentos,"1.521,75",
2025-05-04,faturamento,"542,45",
2025-05-05,faturamento,"2.155,10",
2025-05-05,Investimentos,"949,30",
2025-05-06,faturamento,"3.489,48",
2025-05-06,Investimentos,"1.416,66",
2025-05-07,faturamento,"2.754,65",
2025-05-07,Investimentos,"3.704,53",
2025-05-08,faturamento,"1.240,10",
2025-05-08,Investimentos,"1.427,15",
2025-05-09,faturamento,"762,80",
2025-05-09,Investimentos,"1.390,42",
2025-05-10,faturamento,"1.722,20",
2025-05-10,Investimentos,"1.844,90",
2025-05-11,faturamento,"1.198,70",
2025-05-12,faturamento,"1.046,45",
2025-05-12,Investimentos,"1.338,82",
2025-05-12,Pagamentos de energia,"1.428,58",
2025-05-12,Despesa de Casa,"115,00",
